"id_tempo","data","ano","mes","dia_mes"
1,"2000-01-01",2000,1,1
2,"2000-01-02",2000,1,2
3,"2000-01-03",2000,1,3
4,"2000-01-04",2000,1,4
5,"2000-01-05",2000,1,5
6,"2000-01-06",2000,1,6
7,"2000-01-07",2000,1,7
8,"2000-01-08",2000,1,8
9,"2000-01-09",2000,1,9
10,"2000-01-10",2000,1,10
11,"2000-01-11",2000,1,11
12,"2000-01-12",2000,1,12
13,"2000-01-13",2000,1,13
14,"2000-01-14",2000,1,14
15,"2000-01-15",2000,1,15
16,"2000-01-16",2000,1,16
17,"2000-01-17",2000,1,17
18,"2000-01-18",2000,1,18
19,"2000-01-19",2000,1,19
20,"2000-01-20",2000,1,20
21,"2000-01-21",2000,1,21
22,"2000-01-22",2000,1,22
23,"2000-01-23",2000,1,23
24,"2000-01-24",2000,1,24
25,"2000-01-25",2000,1,25
26,"2000-01-26",2000,1,26
27,"2000-01-27",2000,1,27
28,"2000-01-28",2000,1,28
29,"2000-01-29",2000,1,29
30,"2000-01-30",2000,1,30
31,"2000-01-31",2000,1,31
32,"2000-02-01",2000,2,1
33,"2000-02-02",2000,2,2
34,"2000-02-03",2000,2,3
35,"2000-02-04",2000,2,4
36,"2000-02-05",2000,2,5
37,"2000-02-06",2000,2,6
38,"2000-02-07",2000,2,7
39,"2000-02-08",2000,2,8
40,"2000-02-09",2000,2,9
41,"2000-02-10",2000,2,10
42,"2000-02-11",2000,2,11
43,"2000-02-12",2000,2,12
44,"2000-02-13",2000,2,13
45,"2000-02-14",2000,2,14
46,"2000-02-15",2000,2,15
47,"2000-02-16",2000,2,16
48,"2000-02-17",2000,2,17
49,"2000-02-18",2000,2,18
50,"2000-02-19",2000,2,19
51,"2000-02-20",2000,2,20
52,"2000-02-21",2000,2,21
53,"2000-02-22",2000,2,22
54,"2000-02-23",2000,2,23
55,"2000-02-24",2000,2,24
56,"2000-02-25",2000,2,25
57,"2000-02-26",2000,2,26
58,"2000-02-27",2000,2,27
59,"2000-02-28",2000,2,28
60,"2000-02-29",2000,2,29
61,"2000-03-01",2000,3,1
62,"2000-03-02",2000,3,2
63,"2000-03-03",2000,3,3
64,"2000-03-04",2000,3,4
65,"2000-03-05",2000,3,5
66,"2000-03-06",2000,3,6
67,"2000-03-07",2000,3,7
68,"2000-03-08",2000,3,8
69,"2000-03-09",2000,3,9
70,"2000-03-10",2000,3,10
71,"2000-03-11",2000,3,11
72,"2000-03-12",2000,3,12
73,"2000-03-13",2000,3,13
74,"2000-03-14",2000,3,14
75,"2000-03-15",2000,3,15
